this is america,2018
24k magic,2017
hello,2016
uptown funk,2015
stay with me (darkchild version),2014
get lucky,2013
somebody that i used to know,2012
rolling in the deep,2011
need you now,2010
use somebody,2009
please read the letter,2008
rehab,2007
not ready to make nice,2006
boulevard of broken dreams,2005
here we go again,2004
clocks,2003
don't know why,2002
walk on,2001
beautiful day,2000
smooth,1999
my heart will go on (love theme from titanic),1998
sunny came home,1997
change the world,1996
kiss from a rose,1995
all i wanna do,1994
i will always love you,1993
tears in heaven,1992
unforgettable,1991
another day in paradise,1990
wind beneath my wings,1989
don't worry be happy,1988
graceland,1987
higher love,1986
we are the world,1985
what's love got to do with it,1984
beat it,1983
rosanna,1982
bette davis eyes,1981
sailing,1980
what a fool believes,1979
just the way you are,1978
hotel california,1977
this masquerade,1976
love will keep us together,1975
i honestly love you,1974
killing me softly with his song,1973
the first time ever i saw your face,1972
it's too late,1971
bridge over troubled water,1970
aquarius/let the sunshine in (the flesh failures),1969
mrs. robinson,1968
"up, up and away",1967
strangers in the night,1966
a taste of honey,1965
the girl from ipanema,1964
days of wine and roses,1963
i left my heart in san francisco,1962
moon river,1961
the theme from a summer place,1960
mack the knife,1959
nel blu dipinto di blu (volare),1958